type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
1,8,80,10,1,0,0,1.70880881e-02,1.35518671e+00,5.10221039e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,5.14127199e-04,1.99279011e-06,3.02630499e-07,1.14456986e-09,2.86039129e-07,3.62580875e-08,2.62104759e-06
1,8,80,11,1,0,0,1.70880881e-02,1.35518671e+00,4.89497192e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.93403352e-04,3.42246222e-06,3.37043075e-07,1.25907565e-09,3.06073539e-07,3.44014448e-08,4.10356939e-06
1,8,80,12,1,0,0,1.70880881e-02,1.35518671e+00,4.68679157e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.72585317e-04,4.39229725e-06,3.71089354e-07,1.37357757e-09,3.25501806e-07,3.86548240e-08,5.13139019e-06
1,8,80,13,1,0,0,1.70880881e-02,1.35518671e+00,4.47883700e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.51789860e-04,5.17654014e-06,4.04861756e-07,1.48807651e-09,3.44435144e-07,4.59359384e-08,5.97587671e-06
1,8,80,14,1,0,0,1.70880881e-02,1.35518671e+00,4.27210877e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.31117038e-04,5.85549095e-06,4.38423577e-07,1.60257311e-09,3.62953198e-07,5.53494429e-08,6.71657689e-06
1,8,80,15,1,0,0,1.70880881e-02,1.35518671e+00,4.06746640e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.10652801e-04,6.46573265e-06,4.71819757e-07,1.71706783e-09,3.81115232e-07,6.65083141e-08,7.38979111e-06
1,8,80,16,1,0,0,1.70880881e-02,1.35518671e+00,3.86564889e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.90471049e-04,7.02739058e-06,5.05083153e-07,1.83156103e-09,3.98966748e-07,7.92173756e-08,8.01552811e-06
1,8,80,17,1,0,0,1.70880881e-02,1.35518671e+00,3.66729117e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.70635277e-04,7.55281438e-06,5.38238385e-07,1.94605298e-09,4.16543615e-07,9.33710955e-08,8.60609269e-06
1,8,80,18,1,0,0,1.70880881e-02,1.35518671e+00,3.47293753e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.51199913e-04,8.05015192e-06,5.71304284e-07,2.06054388e-09,4.33874729e-07,1.08911514e-07,9.16962263e-06
1,8,80,19,1,0,0,1.70880881e-02,1.35518671e+00,3.28305261e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.32211421e-04,8.52506672e-06,6.04295515e-07,2.17503391e-09,4.50983811e-07,1.25808199e-07,9.71178960e-06
1,8,80,20,1,0,0,1.70880881e-02,1.35518671e+00,3.09803068e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.13709228e-04,8.98165474e-06,6.37223675e-07,2.28952319e-09,4.67890646e-07,1.44047692e-07,1.02367076e-05
1,8,80,21,1,0,0,1.70880881e-02,1.35518671e+00,2.91820335e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.95726495e-04,9.42297267e-06,6.70098063e-07,2.40401182e-09,4.84611968e-07,1.63627535e-07,1.07474571e-05
1,8,80,22,1,0,0,1.70880881e-02,1.35518671e+00,2.74384629e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.78290789e-04,9.85136082e-06,7.02926223e-07,2.51849990e-09,5.01162097e-07,1.84552683e-07,1.12464053e-05
1,8,80,23,1,0,0,1.70880881e-02,1.35518671e+00,2.57518488e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.61424648e-04,1.02686496e-05,7.35714342e-07,2.63298751e-09,5.17553418e-07,2.06833258e-07,1.17354115e-05
1,8,80,24,1,0,0,1.70880881e-02,1.35518671e+00,2.41239919e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.45146079e-04,1.06762969e-05,7.68467547e-07,2.74747469e-09,5.33796743e-07,2.30483082e-07,1.22159634e-05
1,8,80,25,1,0,0,1.70880881e-02,1.35518671e+00,2.25562833e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.29468993e-04,1.10754823e-05,8.01190119e-07,2.86196150e-09,5.49901588e-07,2.55518700e-07,1.26892711e-05
1,8,80,26,1,0,0,1.70880881e-02,1.35518671e+00,2.10497430e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.14403590e-04,1.14671731e-05,8.33885665e-07,2.97644798e-09,5.65876386e-07,2.81958692e-07,1.31563326e-05
1,8,80,27,1,0,0,1.70880881e-02,1.35518671e+00,1.96050534e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.99956694e-04,1.18521726e-05,8.66557243e-07,3.09093417e-09,5.81728664e-07,3.09823200e-07,1.36179820e-05
1,8,80,28,1,0,0,1.70880881e-02,1.35518671e+00,1.82225904e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.86132064e-04,1.22311545e-05,8.99207466e-07,3.20542010e-09,5.97465177e-07,3.39133580e-07,1.40749241e-05
1,8,80,29,1,0,0,1.70880881e-02,1.35518671e+00,1.69024503e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.72930663e-04,1.26046900e-05,9.31838580e-07,3.31990580e-09,6.13092020e-07,3.69912151e-07,1.45277605e-05
1,8,80,30,1,0,0,1.70880881e-02,1.35518671e+00,1.56444753e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.60350913e-04,1.29732671e-05,9.64452522e-07,3.43439129e-09,6.28614718e-07,4.02182004e-07,1.49770101e-05
1,8,80,31,1,0,0,1.70880881e-02,1.35518671e+00,1.44482754e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.48388914e-04,1.33373062e-05,9.97050979e-07,3.54887658e-09,6.44038304e-07,4.35966859e-07,1.54231237e-05
1,8,80,32,1,0,0,1.70880881e-02,1.35518671e+00,1.33132501e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.37038661e-04,1.36971721e-05,1.02963542e-06,3.66336171e-09,6.59367376e-07,4.71290960e-07,1.58664966e-05
1,8,80,33,1,0,0,1.70880881e-02,1.35518671e+00,1.22386067e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.26292227e-04,1.40531834e-05,1.06220714e-06,3.77784668e-09,6.74606155e-07,5.08178992e-07,1.63074777e-05
1,8,80,34,1,0,0,1.70880881e-02,1.35518671e+00,1.12233788e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.16139948e-04,1.44056203e-05,1.09476727e-06,3.89233151e-09,6.89758529e-07,5.46656009e-07,1.67463774e-05
1,8,80,35,1,0,0,1.70880881e-02,1.35518671e+00,1.02664426e-04,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.06570586e-04,1.47547301e-05,1.12731681e-06,4.00681621e-09,7.04828085e-07,5.86747393e-07,1.71834730e-05
1,8,80,36,1,0,0,1.70880881e-02,1.35518671e+00,9.36653220e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,9.75714822e-05,1.51007328e-05,1.15985666e-06,4.12130079e-09,7.19818147e-07,6.28478807e-07,1.76190144e-05
1,8,80,37,1,0,0,1.70880881e-02,1.35518671e+00,8.52225450e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,8.91287052e-05,1.54438244e-05,1.19238761e-06,4.23578525e-09,7.34731804e-07,6.71876165e-07,1.80532277e-05
1,8,80,38,1,0,0,1.70880881e-02,1.35518671e+00,7.73210270e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,8.12271871e-05,1.57841811e-05,1.22491037e-06,4.35026962e-09,7.49571927e-07,7.16965609e-07,1.84863188e-05
1,8,80,39,1,0,0,1.70880881e-02,1.35518671e+00,6.99446936e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,7.38508538e-05,1.61219613e-05,1.25742557e-06,4.46475390e-09,7.64341201e-07,7.63773488e-07,1.89184757e-05
1,8,80,40,1,0,0,1.70880881e-02,1.35518671e+00,6.30765875e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,6.69827476e-05,1.64573080e-05,1.28993379e-06,4.57923808e-09,7.79042133e-07,8.12326342e-07,1.93498716e-05
1,8,80,41,1,0,0,1.70880881e-02,1.35518671e+00,5.66989856e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,6.06051457e-05,1.67903514e-05,1.32243554e-06,4.69372219e-09,7.93677072e-07,8.62650890e-07,1.97806658e-05
1,8,80,42,1,0,0,1.70880881e-02,1.35518671e+00,5.07935113e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,5.46996715e-05,1.71212097e-05,1.35493129e-06,4.80820623e-09,8.08248227e-07,9.14774023e-07,2.02110065e-05
1,8,80,43,1,0,0,1.70880881e-02,1.35518671e+00,4.53412418e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.92474019e-05,1.74499909e-05,1.38742145e-06,4.92269019e-09,8.22757673e-07,9.68722791e-07,2.06410313e-05
1,8,80,44,1,0,0,1.70880881e-02,1.35518671e+00,4.03228105e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,4.42289706e-05,1.77767941e-05,1.41990642e-06,5.03717409e-09,8.37207366e-07,1.02452440e-06,2.10708689e-05
1,8,80,45,1,0,0,1.70880881e-02,1.35518671e+00,3.57185059e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.96246661e-05,1.81017102e-05,1.45238653e-06,5.15165793e-09,8.51599150e-07,1.08220622e-06,2.15006397e-05
1,8,80,46,1,0,0,1.70880881e-02,1.35518671e+00,3.15083665e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.54145266e-05,1.84248229e-05,1.48486212e-06,5.26614172e-09,8.65934772e-07,1.14179575e-06,2.19304574e-05
1,8,80,47,1,0,0,1.70880881e-02,1.35518671e+00,2.76722713e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,3.15784314e-05,1.87462097e-05,1.51733346e-06,5.38062545e-09,8.80215881e-07,1.20332066e-06,2.23604289e-05
1,8,80,48,1,0,0,1.70880881e-02,1.35518671e+00,2.41900279e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.80961881e-05,1.90659422e-05,1.54980083e-06,5.49510913e-09,8.94444042e-07,1.26680876e-06,2.27906556e-05
1,8,80,49,1,0,0,1.70880881e-02,1.35518671e+00,2.10414567e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.49476168e-05,1.93840869e-05,1.58226447e-06,5.60959277e-09,9.08620741e-07,1.33228800e-06,2.32212339e-05
1,8,80,50,1,0,0,1.70880881e-02,1.35518671e+00,1.82064715e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,2.21126316e-05,1.97007057e-05,1.61472461e-06,5.72407636e-09,9.22747389e-07,1.39978648e-06,2.36522554e-05
1,8,80,51,1,0,0,1.70880881e-02,1.35518671e+00,1.56651577e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.95713178e-05,2.00158562e-05,1.64718145e-06,5.83855991e-09,9.36825328e-07,1.46933245e-06,2.40838077e-05
1,8,80,52,1,0,0,1.70880881e-02,1.35518671e+00,1.33978465e-05,2.58755477e-06,1.19527656e-06,0.00000000e+00,1.73040067e-05,2.03295922e-05,1.67963518e-06,5.95304343e-09,9.50855836e-07,1.54095433e-06,2.45159744e-05
